code,name,kind,pct_change_20d,last_traded
054630,에이디칩스,데이터부족,,
010620,HD현대미포,합병/변동없음,-6.3,2025-11-26
006390,한일현대시멘트,합병/변동없음,-4.4,2025-10-29
091090,세원이앤씨,데이터부족,,
071460,위니아,데이터부족,,
072520,제넨바이오,데이터부족,,
168490,한국패러랠,합병/변동없음,-5.5,2025-03-27
214870,한울BnC,데이터부족,,
268600,셀리버리,데이터부족,,
282690,동아타이어,데이터부족,,
053590,한국테크놀로지,데이터부족,,
096610,알에프세미,데이터부족,,
269620,시스웍,데이터부족,,
106520,노블엠앤비,데이터부족,,
230980,비유테크놀러지,데이터부족,,
139050,BF랩스,데이터부족,,
217620,선샤인푸드,데이터부족,,
152550,한국ANKOR유전,CRASH,-75.2,2026-04-28
138490,코오롱ENP,중간,18.3,2026-03-27
008110,대동전자,데이터부족,,
204630,스튜디오산타클로스,데이터부족,,
222810,세토피아,데이터부족,,
001140,국보,데이터부족,,
042670,HD현대인프라코어,합병/변동없음,-5.5,2025-12-26
010600,웰바이오텍,데이터부족,,
057880,푸른소나무,데이터부족,,
003560,IHQ,데이터부족,,
033180,KH 필룩스,데이터부족,,
226360,KH 건설,데이터부족,,
111870,KH 미래물산,데이터부족,,
174880,장원테크,데이터부족,,
