Symbol,Name,Market,ListingDate,DelistingDate,Reason
054630,에이디칩스,KOSDAQ,2001-11-13,2025-12-30,감사의견 거절(계속기업 존속능력 불확실성)
010620,HD현대미포,KOSPI,1983-12-20,2025-12-15,해산 사유 발생
006390,한일현대시멘트,KOSPI,1975-12-26,2025-11-21,해산 사유 발생
091090,세원이앤씨,KOSPI,2006-07-31,2025-10-27,감사의견 의견거절 2년 계속
071460,위니아,KOSDAQ,2016-07-14,2025-06-18,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성)
072520,제넨바이오,KOSDAQ,2004-10-29,2025-06-18,감사의견 거절(감사범위 제한 및 계속기업 가정 불확실성)
168490,한국패러랠,KOSPI,2013-04-19,2025-04-01,해산 사유 발생
214870,한울BnC,KOSDAQ,2015-10-13,2025-03-31,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성)
268600,셀리버리,KOSDAQ,2018-11-09,2025-03-07,감사의견 거절(감사범위 제한 및 계속기업 가정 불확실성)
282690,동아타이어,KOSPI,2017-11-29,2024-10-08,해산 사유 발생
053590,한국테크놀로지,KOSDAQ,2001-08-23,2024-10-07,해산사유 발생(파산선고)
096610,알에프세미,KOSDAQ,2007-11-20,2026-09-03,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성)
269620,시스웍,KOSDAQ,2017-12-26,2026-08-25,감사의견 거절(계속기업 존속능력 불확실성)
106520,노블엠앤비,KOSDAQ,2012-07-13,2026-07-01,감사의견 거절(계속기업 존속능력 불확실성)
230980,비유테크놀러지,KOSDAQ,2016-03-02,2026-06-05,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성)
139050,BF랩스,KOSDAQ,2011-07-29,2026-05-08,감사의견 거절(감사범위 제한)
217620,선샤인푸드,KOSDAQ,2015-06-10,2026-05-08,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성)
152550,한국ANKOR유전,KOSPI,2012-03-08,2026-05-04,해산 사유 발생
138490,코오롱ENP,KOSPI,2011-06-15,2026-04-16,해산 사유 발생
008110,대동전자,KOSPI,1990-06-05,2026-03-30,감사범위제한으로인한 감사의견한정 2년 계속
204630,스튜디오산타클로스,KOSDAQ,2014-12-29,2026-03-18,감사의견 한정(감사범위 제한)
222810,세토피아,KOSDAQ,2015-08-13,2026-03-16,감사의견 거절(계속기업 존속능력 불확실성)
001140,국보,KOSPI,1989-12-02,2026-01-27,감사의견 의견거절 2년 계속
042670,HD현대인프라코어,KOSPI,2001-02-02,2026-01-26,해산 사유 발생
010600,웰바이오텍,KOSPI,1997-07-18,2026-01-26,감사의견 의견거절 2년 계속
057880,푸른소나무,KOSDAQ,2003-12-29,2026-01-22,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성)
003560,IHQ,KOSPI,1973-12-18,2026-01-15,감사의견 의견거절 2년 계속
033180,KH 필룩스,KOSPI,2001-12-26,2026-01-15,감사의견 의견거절 2년 계속
226360,KH 건설,KOSDAQ,2015-10-22,2026-01-14,감사의견 거절(감사범위 제한)
111870,KH 미래물산,KOSDAQ,2010-11-05,2026-01-14,감사의견 거절(감사범위 제한)
174880,장원테크,KOSDAQ,2016-07-15,2026-01-14,감사의견 한정(감사범위 제한)
