저울 -- 코스피+코스닥 전체 상위 20개 (하락다리·반등기대 후보, 전체 후보 116종목 중)
기준일: 2026-09-07

1. 원풍물산(008290) | 저울점수 +1(약한이김) | 하락다리 3일째, -54.9% | 되돌림깊이 54.9%p | 52주위치 7%
2. 코이즈(121850) | 저울점수 +1(약한이김) | 하락다리 4일째, -51.5% | 되돌림깊이 51.5%p | 52주위치 0%
3. 썸에이지(208640) | 저울점수 +1(약한이김) | 하락다리 23일째, -47.4% | 되돌림깊이 47.4%p | 52주위치 0%
4. 대원화성(024890) | 저울점수 +1(약한이김) | 하락다리 17일째, -38.7% | 되돌림깊이 38.5%p | 52주위치 2%
5. 골드앤에스(035290) | 저울점수 +1(약한이김) | 하락다리 3일째, -32.6% | 되돌림깊이 33.5%p | 52주위치 2%
6. 타이거일렉(219130) | 저울점수 +1(약한이김) | 하락다리 16일째, -27.0% | 되돌림깊이 28.4%p | 52주위치 60%
7. 효성화학(298000) | 저울점수 +1(약한이김) | 하락다리 11일째, -24.8% | 되돌림깊이 24.0%p | 52주위치 47%
8. 아센디오(012170) | 저울점수 +1(약한이김) | 하락다리 6일째, -23.9% | 되돌림깊이 23.9%p | 52주위치 0%
9. 한성기업(003680) | 저울점수 +1(약한이김) | 하락다리 14일째, -24.4% | 되돌림깊이 23.3%p | 52주위치 7%
10. 오가노이드사이언스(476040) | 저울점수 +1(약한이김) | 하락다리 11일째, -22.5% | 되돌림깊이 21.5%p | 52주위치 1%
11. 지놈앤컴퍼니(314130) | 저울점수 +1(약한이김) | 하락다리 9일째, -20.3% | 되돌림깊이 20.0%p | 52주위치 12%
12. 해성옵틱스(076610) | 저울점수 +1(약한이김) | 하락다리 10일째, -19.0% | 되돌림깊이 19.8%p | 52주위치 29%
13. 오름테라퓨틱(475830) | 저울점수 +1(약한이김) | 하락다리 6일째, -20.1% | 되돌림깊이 19.5%p | 52주위치 25%
14. 휴온스(243070) | 저울점수 +1(약한이김) | 하락다리 18일째, -19.9% | 되돌림깊이 19.3%p | 52주위치 1%
15. 삼영(003720) | 저울점수 +1(약한이김) | 하락다리 16일째, -19.8% | 되돌림깊이 18.9%p | 52주위치 18%
16. 에스에너지(095910) | 저울점수 +1(약한이김) | 하락다리 14일째, -19.1% | 되돌림깊이 18.7%p | 52주위치 2%
17. 신라젠(215600) | 저울점수 +1(약한이김) | 하락다리 7일째, -17.3% | 되돌림깊이 18.2%p | 52주위치 17%
18. 더본코리아(475560) | 저울점수 +1(약한이김) | 하락다리 7일째, -17.6% | 되돌림깊이 17.5%p | 52주위치 18%
19. SK증권우(001515) | 저울점수 +1(약한이김) | 하락다리 10일째, -17.4% | 되돌림깊이 17.3%p | 52주위치 5%
20. 위닉스(044340) | 저울점수 +1(약한이김) | 하락다리 12일째, -17.7% | 되돌림깊이 17.2%p | 52주위치 6%
